Species and subspecies,Wild ancestor,Date,Location of origin,Purpose,Image,Degree and type of domestication,Extent in wild vs captivity,Taxon group,Domestic
og (Canis lupus familiaris)[3],Extinct Pleistocene population of Gray wolf (Canis lupus)[4],13000 BCE[5][6],"China,[7][8][9]","Pets, hunting, herding, guarding, pest control, transportation, draft, working, show, racing, sport, meat, rescuing, guiding, fighting, service, research, policing, narcotics detection, patrol, fibre, truffle harvesting, education, therapy",,"Tame (with exceptions),[10] significant physical changes, probably significant behavioral changes","Domestic and feral dogs both very common,[10] ancestor or nearest wild relative less common but not rare",1c Carnivora,Full
Goat (Capra aegagrus hircus),Bezoar ibex (Capra aegagrus aegagrus),10000 BCE[11][12][13],Iran,"milk, meat, fibre, skin, show, racing, fighting, clearing land, pets, horns, guarding, weed control, manure, lawn mowing",,Slight physical changes,"Common in captivity, threatened in wild, feral goats common",1b Bovidae,Full
Domestic pig (Sus scrofa domesticus),"Anatolian boar (Sus scrofa libycus),[14] Northern Chinese boar (Sus scrofa moupinensis)[15]",9000 BCE[16][17][18][19],"China, Western Asia","meat, leather, research, show, racing, fighting, truffle harvesting, pets, tusks, guarding, manure, weed control",,Some physical changes,Common in the wild. Much more common in captivity. Feral animals common in some areas.,1a Artiodactyla except Bovidae,Full
Sheep (Ovis aries)[3],"Unknown ancestor,[20] possibly Armenian mouflon (Ovis orientalis gmelini)",9000 BCE to 8500 BCE[21][22],"Anatolia, Zagros mountains","fibre, meat, milk, leather, pelt, vellum, pets, show, racing, research, guarding, fighting, ornamental, horns, lawn mowing, weed control, hides, manure",,Some physical changes,"Common in captivity, threatened in the wild",1b Bovidae,Full
Cattle (Bos taurus)[3][23][24],Eurasian aurochs (Bos primigenius primigenius)†,8000 BCE[25][26],"China,[27] Western Asia","meat, milk, leather, hides, working, plowing, draft, vellum, blood, transportation, soil fertilization, fighting, show, racing, pets, horns, guarding, dung, mount, fibre, weed control, lawn mowing",,Some physical changes,"Very common in captivity, wild relatives extinct, feral cattle fairly common",1b Bovidae,Full
Zebu (Bos taurus indicus)[3],Indian aurochs (Bos primigenius namadicus)†,8000 BCE,India,"meat, milk, leather, hides, working, plowing, draft, vellum, blood, transportation, soil fertilization, fighting, show, racing, pets, horns, dung, mount, lawn mowing",,Considerable physical changes,"Wild relatives extinct, common in captivity",1b Bovidae,Full
Cat (Felis catus)[3],African wildcat (Felis lybica)[28],8000–7500 BCE[28],Near East,"pets, meat, pest control, show, pelt, research",,"Tame, some physical changes","Very abundant in captivity, true wildcats less abundant though not rare. Feral populations very common.",1c Carnivora,Full
Chicken (Gallus gallus domesticus),Red junglefowl (Gallus gallus murghi) with some contribution from the Grey junglefowl (Gallus sonneratii),6000 BCE[29],India and Southeast Asia,"meat, eggs, feathers, leather, show, racing, ornamental, fighting, pest control, pets, guarding, manure, weed control",,"Some physical changes, considerable reproductive changes",Very common in captivity and the wild,2b Galliformes,Full
Guinea pig (Cavia porcellus),Montane guinea pig (Cavia tschudii),5000 BCE,Peru,"pets, meat, show, racing, research, lawn mowing, weed control, manure",,"Tame, slight physical changes",Somewhat common in captivity and the wild,1d Rodentia,Full
Donkey (Equus africanus asinus),"Nubian wild ass (Equus africanus africanus), Somali wild ass (Equus africanus somaliensis)[30]",5000 BCE[31][32],Egypt,"transportation, working, plowing, draft, mount, meat, milk, pets, racing, guarding, lawn mowing, patrol, manure, weed control",,Slight physical changes,"Somewhat common in captivity and as feral animals, wild animals critically endangered,",1e Other mammals,Full
Domestic duck (Anas platyrhynchos domesticus),Mallard (Anas platyrhynchos),4000 BCE,China,"meat, feathers, eggs, pets, show, ornamental, guarding, pest control, weed control, manure",,Considerable physical changes,"Common in captivity, but more abundant in the wild",2a Anseriformes,Full
Water buffalo (Bubalus bubalis)[3],Wild water buffalo (Bubalus arnee),4000 BCE,"India, China, Philippines","working, plowing, draft, mount, fighting, meat, show, racing, milk, horns, patrol, dung, lawn mowing",,Mainly unchanged from wild animal,"Common in captivity, endangered in the wild",1b Bovidae,Full
"Guppy (Poecilia reticulata),[33] Cauca molly (P. caucana), Amazon molly (P. formosa), Sailfin molly (P. latipinna), Shortfin molly (P. mexicana), Liberty molly (P. salvatoris), Common molly (P. sphenops), Yucatan molly (P. velifera) and Endler's livebearer (P. wingei)","Guppy (Poecilia reticulata), Cauca molly (P. caucana), Amazon molly (P. formosa), Sailfin molly (P. latipinna), Shortfin molly (P. mexicana), Liberty molly (P. salvatoris), Common molly (P. sphenops), Yucatan molly (P. velifera) and Endler's livebearer (P. wingei)",Date uncertain,"Barbados, Brazil, Guyana, Mexico, El Salvador, Venezuela","pets, research, bait",,Some physical and behavioral changes. Domestication status is a point of contention.,Common in captivity,5b Other fish,Full
Dromedary camel (Camelus dromedarius)[34],Thomas' camel (Camelus thomasi)†[35],4000 BCE,Arabia,"transportation, hunting, mount, show, milk, meat, pets, urine",,"Tame, few physical changes","Moderately common in captivity, small feral population in original range, significant feral population in Australia, true wild dromedaries may be extinct",1a Artiodactyla except Bovidae,Full
Horse (Equus ferus caballus),Extinct unknown population of Wild horse possibly Tarpan (Equus ferus ferus)†[36],3500 BCE[37],Kazakhstan,"transportation, milk, meat, working, guiding, servicing, herding, hunting, execution, plowing, draft, mount, patrol fighting, show, racing, pets, hair, manure, lawn mowing, weed control",,"Tame, some physical changes, mainly in coloration","Common in captivity, very rare in wild, feral populations common",1e Other mammals,Full
Domestic silkmoth (Bombyx mori),Wild silkmoth (Bombyx mandarina),3000 BCE,China,"silk, animal feed, pets,",,"Tame/held captive, some physical changes","Fairly common in captivity, wild extent unclear",6b Other insects,Full
Domestic pigeon (Columba livia domestica),Rock dove (Columba livia),3000 BCE,Mediterranean Basin,"show, ornamental, messenger, meat, racing, pets, manure",,"Artificially selected into many varieties, including meat breeds, racing/messenger breeds, and fancy plumage breeds","Relatively common in captivity, very common in the wild, feral pigeons extremely abundant",2c Columbiformes,Full
Domestic goose (Anser anser domesticus and Anser cygnoides domesticus),Greylag goose (Anser anser) and Swan goose (A. cygnoides),"3000 BCE for A. anser, date uncertain for A. cygnoides.[38]","Egypt (A. anser), China (A. cygnoides)","meat, feathers, eggs, show, guarding, pest control, pets, weed control, manure",,Considerable physical changes,Common in captivity and the wild,2a Anseriformes,Full
Yak (Bos grunniens)[3],Wild yak (Bos mutus),2500 BCE,"Tibet, Nepal","milk, transportation, working, plowing, mount, racing, fighting, show, meat, fibre, guarding, pets, horns, patrol, dung",,"Tame, slight physical changes",Fairly common in captivity; threatened in the wild.,1b Bovidae,Full
Bactrian camel (Camelus bactrianus),Wild Bactrian camel (Camelus ferus),2500 BCE,Central Asia (Afghanistan),"milk, transportation, hunting, mount, show, meat, milk, hair, pets, dung",,"Tame, few physical changes","Moderately common in captivity, critically endangered in the wild",1a Artiodactyla except Bovidae,Full
Llama (Lama glama)[3],Guanaco (Lama guanicoe cacsilensis)[39],2400 BCE[40],"Peru, Bolivia","transportation, working, draft, pack, meat, show, racing, pets, guarding, weed control, fibre, manure, lawn mowing",,Slight physical changes,Fairly common in captivity and the wild,1a Artiodactyla except Bovidae,Full
Alpaca (Vicugna pacos)[3],Vicuña (Vicugna vicugna mensalis)[39],2400 BCE[40],"Peru, Bolivia","fibre, meat, show, pets, guarding, milk, lawn mowing, weed control, manure",,Considerable physical changes,Fairly common in captivity and the wild,1a Artiodactyla except Bovidae,Full
Domestic guineafowl (Numida meleagris),West African guineafowl (Numida meleagris galeatus),2400 BCE[41],Africa,"meat, eggs, pest control, show, alarming, pets, guarding, manure",,Mainly unaltered from wild population,Somewhat common in captivity and in the wild,2b Galliformes,Full
Fuegian dog (Lycalopex culpaeus)†,Culpeo (Lycalopex culpaeus),Date uncertain[42],"Argentina, Chile","hunting, pets, warmth, guarding",,"Tame, slight physical changes",Extinct in captivity,1c Carnivora,Full
Ferret (Mustela putorius furo),European polecat (Mustela putorius),1500 BCE[43],Europe,"pets, hunting, pest control, show, racing",,"Tame, slight physical changes","Common in captivity, somewhat common in the wild. Feral ferrets rare",1c Carnivora,Full
Domestic muscovy duck (Cairina moschata domestica),Muscovy duck (Cairina moschata),700–600 BCE[40],South America,"meat, feathers, eggs, show, pets, guarding, pest control, manure",,"Tame, some physical changes","Common in captivity, feral populations are rare",2a Anseriformes,Full
Barbary dove (Streptopelia risoria),African collared dove (Streptopelia roseogrisea),500 BCE,North Africa,"show, pets, meat",,Slight physical changes,Common in captivity and feral populations,2c Columbiformes,Full
Bali cattle (Bos javanicus domesticus),Javan banteng (Bos javanicus javanicus),Date uncertain,"Southeast Asia, Bali","meat, milk, show, working, plowing, draft, horns, dung",,Slight physical changes,"Common in captivity, endangered in the wild",1b Bovidae,Full
Gayal (Bos frontalis)[3],Gaur (Bos gaurus),Date uncertain,"Southeast Asia, Northeast India","meat, milk, horns, dung",,Slight physical changes,"Somewhat common in captivity, threatened in the wild",1b Bovidae,Full
Domestic turkey (Meleagris gallopavo),South Mexican wild turkey (Meleagris gallopavo gallopavo),180 CE[40],Mexico,"meat, feathers, eggs, show, pets, pest control, guarding, manure",,Considerable physical changes,Common in captivity and wild,2b Galliformes,Full
Goldfish (Carassius auratus),Wild goldfish (Carassius auratus)[44],300 CE to 400 CE,China,"pets, show, racing, ornamental, pest control",,"Tame/held captive, significant physical changes","Very common and abundant in captivity, wild extent is unclear",5a Cyprinidae,Full
Domestic rabbit (Oryctolagus cuniculus domesticus),Iberian rabbit (Oryctolagus cuniculus algirus)[45],600 CE[46],Europe,"pelt, fibre, pets, show, racing, research, meat, lawn mowing, weed control, manure",,"Tame, significant physical changes","Common in captivity, rare in native habitat, common in introduced range",1e Other mammals,Full
Koi (Cyprinus rubrofuscus),Amur carp (Cyprinus rubrofuscus),11th Century CE,Japan,"ornamental, show, pets",,"Tame/held captive, considerable physical changes","Fairly common in captivity, threatened in the wild",5a Cyprinidae,Full
Domestic canary (Serinus canaria domestica),Atlantic canary (Serinus canaria),15th century CE,"Canary Islands, Europe","pets, research, show, mining, fighting",,Slight physical changes,Common in captivity and wild,2d Passeriformes,Full
Society finch (Lonchura striata domestica),White-rumped munia (Lonchura striata),"unknown, may have been introduced to Japan sometime around the early 18th century CE[47]",Japan,"pets, research, show",,Slight physical changes,Fairly common in captivity; does not exist in the wild,2d Passeriformes,Full
Fancy mouse and laboratory mouse (Mus musculus domestica),Western European house mouse (Mus musculus domesticus),"1100 BCE (China), then 17th century CE (Europe)[48]",China,"pets, research, racing, animal feed",,"Tame, significant physical changes",Common in captivity and in the wild,1d Rodentia,Full
Fancy rat and laboratory rat (Rattus norvegicus domestica),Brown rat (Rattus norvegicus),19th century CE[49],United Kingdom,"pets, research, show",,"Tame, some physical and psychological changes",Common in captivity and in the wild,1d Rodentia,Full
Domestic mink (Neovison vison domesticus)[50],American mink (Neovison vison),19th century CE,North America,"fur, hunting, pest control, pets",,Some physical and psychological changes,Somewhat common in captivity and in the wild,1c Carnivora,Full
Domesticated red fox (Vulpes vulpes),Red fox (Vulpes vulpes),1950s CE,"Soviet Union, Russia","pelt, research, pets",,"Tame, some physical changes","Very small domestic population, wild relatives fairly common",1c Carnivora,Full
Domestic hedgehog (Atelerix albiventris),Four-toed hedgehog (Atelerix albiventris),1980s CE,Central and Eastern Africa,pets,,Slight physical changes,Common in the wild. Somewhat rare in captivity,1e Other mammals,Full
Domestic skunk (Mephitis mephitis),Striped skunk (Mephitis mephitis),19th century,North America,"pets, pest control",,"Tame when captive-bred, significant physical changes",Somewhat common in captivity and in the wild,1c Carnivora,Full
"Indian elephant (Elephas maximus indicus), Sri Lankan elephant (E. m. maximus), Sumatran elephant (E. m. sumatranus), Borneo elephant (E. m. borneensis)","Indian elephant (Elephas maximus indicus), Sri Lankan elephant (E. m. maximus), Sumatran elephant (E. m. sumatranus), Borneo elephant (E. m. bornennsis)[51]","2000 BC (uncertain for E. m. maximus, E. m. sumatranus and E. m. borneensis)","India, Sri Lanka, Sumatra, Borneo","transportation, hunting, show,",,Semidomesticated (Captured from wild and tamed),,1e Other mammals,Partial
Reindeer (Rangifer tarandus),Reindeer (Rangifer tarandus),3000 BCE,"Fennoscandia, Western Russia (possibly Eastern Russia)[52], China, Mongolia","meat, milk, transportation, hides, leather,",,Semidomesticated,,1a Artiodactyla except Bovidae,Partial
Gemsbok (Oryx gazella),Gemsbok (Oryx gazella)[53],Date uncertain,Southern Africa,"meat, hides, horns",,Held/tame in captivity,,1b Bovidae,Partial
Arabian ostrich (Struthio camelus syriacus)†,Arabian ostrich (Struthio camelus syriacus)†[54],Date uncertain,Mesopotamia,"meat, feathers, eggs, sacrifice",,,Extinct in captivity and in the wild,2f Other birds,Partial
Arabian oryx (Oryx leucoryx),Arabian oryx (Oryx leucoryx),Date uncertain,"Middle East, Egypt","meat, horns",,Held/tame in captivity,,1b Bovidae,Partial
Dorcas gazelle (Gazella dorcas),Dorcas gazelle (Gazella dorcas)[55],Date uncertain,Egypt,"meat, hides, horns, pets",,Held/tame in captivity,,1b Bovidae,Partial
Nubian ibex (Capra nubiana),Nubian ibex (Capra nubiana)[56],Date uncertain,Egypt,"meat, horns",,Held/tame in captivity,,1b Bovidae,Partial
Scimitar oryx (Oryx dammah),Scimitar oryx (Oryx dammah),2320–2150 BCE,Egypt,"meat, hides, horns, sacrifice",,Held/tame in captivity,"Small captive population, but nearly extinct in wild",1b Bovidae,Partial
Serval (Leptailurus serval),Serval (Leptailurus serval)[57],Date uncertain,Egypt,"pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Caracal (Caracal caracal),Caracal (Caracal caracal)[58],Date uncertain,"Egypt, India, Southern Africa","hunting, pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
"Northeast African cheetah (Acinonyx jubatus soemmeringii), Asiatic cheetah (A. j. venaticus) and Southeast African cheetah (A. j. jubatus)","Northeast African cheetah (Acinonyx jubatus soemmeringii), Asiatic cheetah (A. j. venaticus) and Southeast African cheetah (A. j. jubatus)[59][60]",Date uncertain,"Egypt, India, Middle East, South Africa","hunting, tourism, pets",,Held/tame in captivity,,1c Carnivora,Partial
Bubal hartebeest (Alcelaphus buselaphus buselaphus)†,Bubal hartebeest (Alcelaphus buselaphus buselaphus)†,Date uncertain,Egypt,"meat, hides, horns, sacrifice",,,Extinct in captivity and in the wild,1b Bovidae,Partial
Syrian wild ass (Equus hemionus hemippus)†,Syrian wild ass (Equus hemionus hemippus)†[61],Date uncertain,Mesopotamia,draught,,,Extinct in captivity and in the wild,1e Other mammals,Partial
Wood duck (Aix sponsa),Wood duck (Aix sponsa),Date uncertain,North America,"meat, ornamental, pets, pest control",,Held/tame in captivity,,2a Anseriformes,Partial
Mandarin duck (Aix galericulata),Mandarin duck (Aix galericulata),Pre-modern China (date uncertain),China,"ornamental, pets, pest control",,Held/tame in captivity,,2a Anseriformes,Partial
Egyptian goose (Alopochen aegyptiacus),Egyptian goose (Alopochen aegyptiacus),Date uncertain,Egypt,"meat, eggs, ornamental, guarding, pets, feathers",,Held/tame in captivity,"common in captivity, feral populations very common",2a Anseriformes,Partial
Egyptian mongoose (Herpestes ichneumon),Egyptian mongoose (Herpestes ichneumon),Ancient Egypt (Date uncertain),Egypt,"pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Leopard cat (Prionailurus bengalensis),Leopard cat (Prionailurus bengalensis)[62],5000 BCE,China,"pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
"Common (Genetta genetta), Cape (G. tigrina), Pardine (G. pardina) and Rusty-spotted genet (G. maculata)","Common (Genetta genetta),[63] Cape (G. tigrina), Pardine (G. pardina) and Rusty-spotted genet (G. maculata)",Date uncertain,Africa,"pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
"Chinese honey bee (Apis cerana cerana), Indian honey bee (A. c. indica) and Japanese honey bee (A. c. japonica)","Chinese honey bee (Apis cerana cerana), Indian honey bee (A. c. indica) and Japanese honey bee (A. c. japonica)",Date uncertain,"South Asia, Thailand, Japan, China","honey, pollination, wax",,Held/tame in captivity,,6a Hymenoptera,Partial
Fallow deer (Dama dama),Fallow deer (Dama dama),1000 BCE,Mediterranean Basin,"meat, hides, antlers, pets",,Semidomesticated,,1a Artiodactyla except Bovidae,Partial
European medicinal leech (Hirudo medicinalis),European medicinal leech (Hirudo medicinalis)[64],800 BC,"Europe, Asia","bloodletting, surgery, therapy, pets",,Captive bred,,7 Other animals,Partial
Cochineal (Dactylopius coccus),Cochineal (Dactylopius coccus),700–500 BC[40],"Chile, Peru, Mexico",dye,,Held/tame in captivity,Very common in the wild,6b Other insects,Partial
Indian peafowl (Pavo cristatus) and Green peafowl (P. muticus),Indian peafowl (Pavo cristatus) and Green peafowl (P. muticus),500 BCE (uncertain for P. muticus),"India, Java","show, feathers, meat, ornamental, pets, guarding, pest control",,Held/tame in captivity,Fairly common in the wild,2b Galliformes,Partial
Common hill myna (Gracula religiosa),Common hill myna (Gracula religiosa),"kept in Ancient Greece, date of captive breeding uncertain",Greece,"pets, talking bird",,Held/tame in captivity,,2d Passeriformes,Partial
Indian rose-ringed parakeet (Psittacula krameri manillensis) and African rose-ringed parakeet (P. k. krameri),Indian rose-ringed parakeet (Psittacula krameri manillensis) and African rose-ringed parakeet (P. k. krameri),Classical antiquity (Date uncertain),"West Africa, India","pets, talking bird",,Held/tame in captivity,,2e Psittaciformes,Partial
"Red deer (Cervus elaphus) including subspecies Caspian red deer (C. e. maral), Norwegian red deer (C. e. atlanticus) and Scottish red deer (C. e. scoticus)",Red deer (Cervus elaphus)[65][66] and appropriate subspecies,~0 CE,"China, Russia, Europe, United Kingdom, Iran","meat, velvet, hides, leather, antlers, pets, milk",,Captive bred,,1a Artiodactyla except Bovidae,Partial
Roman snail (Helix pomatia) and Turkish snail (H. lucorum),Roman snail (Helix pomatia) and Turkish snail (H. lucorum),100 CE (uncertain for H. lucorum),Europe,"meat, pets, shells, slime, eggs",,Captive bred,,7 Other animals,Partial
"Stingless bees (Melipona beecheii), (M. scutellaris), (M. bicolor), (M. quadrifasciata) and (M. subnitida)","Stingless bees (Melipona beecheii), (M. scutellaris), (M. bicolor), (M. quadrifasciata) and (M. subnitida)",180 CE,"Mexico, Amazon basin","honey, wax, pollination, propolis, pets",,Semidomesticated,,6a Hymenoptera,Partial
White cockatoo (Cacatua alba),White cockatoo (Cacatua alba),Tang Dynasty (618–907 CE),"China, Indonesia","pets, show",,Held/tame in captivity,,2e Psittaciformes,Partial
Sulphur-crested cockatoo (Cacatua galerita) including subspecies Triton cockatoo (C. g. triton) and Eleonora cockatoo (C. g. eleonora),Sulphur-crested cockatoo (Cacatua galerita) including subspecies Triton cockatoo (C. g. triton) and Eleonora cockatoo (C. g. eleonora),Date uncertain,"Australia, Indonesia, New Guinea","pets, show",,Held/tame in captivity,,2e Psittaciformes,Partial
Yellow-crested cockatoo (Cacatua sulphurea) including subspecies Citron-crested cockatoo (C. s. citrinocristata) and Timor cockatoo (C. s. parvula),Yellow-crested cockatoo (Cacatua sulphurea) and appropriate subspecies,Date uncertain,"Sulawesi, Masalembu Islands, Tukangbesi Islands, Tanah Jampea, Sumbawa, Komodo, Flores, Timor, Lesser Sundas, Sumba",pets,,Held/tame in captivity,,2e Psittaciformes,Partial
"Japanese (Phalacrocorax capillatus), Neotropic (P. brasilianus) and great cormorant (P. carbo)","Japanese (Phalacrocorax capillatus), Neotropic (P. brasilianus) and great cormorant (P. carbo)",960 CE (uncertain for P. brasilianus),"Japan, China, Peru",fishing,,Held/tame in captivity,,2f Other birds,Partial
"Whooper swan (Cygnus cygnus), Trumpeter swan (C. buccinator), Black-necked swan (C. melancoryphus) and Black swan (C. atratus)","Whooper swan (Cygnus cygnus), Trumpeter swan (C. buccinator), Black-necked swan (C. melancoryphus) and Black swan (C. atratus)",Date uncertain,"Eurasia, North America, South America, Australia","meat, ornamental, feathers, guarding, pets",,Semidomesticated,,2a Anseriformes,Partial
Mute swan (Cygnus olor),Mute swan (Cygnus olor),1000-1500 CE,Europe,"meat, ornamental, feathers, guarding, pets",,Semidomesticated,,2a Anseriformes,Partial
House cricket (Acheta domesticus),House cricket (Acheta domesticus),12th century CE,"Southwestern Asia, China, Japan","animal feed, meat, fighting, pets",,Held in captivity,"Somewhat common in captivity, very common in wild",6b Other insects,Partial
Common quail (Coturnix coturnix) and Japanese quail (C. japonica),Common (Coturnix coturnix) and Japanese quail (C. japonica),1100–1900 CE,"Eurasia, Japan","meat, eggs, pets",,Domesticated in captivity,,2b Galliformes,Partial
Common carp (Cyprinus carpio),Common carp (Cyprinus carpio),1200–1500 CE,"Europe, Asia","meat, pets, eggs",,Held/tame in captivity,,5a Cyprinidae,Partial
Siamese fighting fish (Betta splendens),Siamese fighting fish (Betta slendens),19th century CE,Thailand,"fighting, pets",,"Tame/held captive, very significant physical and slight behavioral changes",,5b Other fish,Partial
